Acceptable Delay to Starting Service	The team's goal to start patients in any service within one week of their intake appointment.
Adjunctive Appointment Supply	The number of official appointments offered each week. This value replaces the default value estimated from the team's data, with the assumption that any increase in supply comes from reducing appointments offered in other services. (appt/wk)
Adjunctive Appointment Supply (median)	The number of appointments available with this team for each service each week. The estimate is calculated using the volume of visits completed each week with the team in each service over one year. (appt/wk)
Adjunctive Appointments	The total number of appontments for each service on the calendar. (appts)
Adjunctive Appointments to Reschedule	The number of appointments to be rescheduled for each service. This assumes that all missed appointments are eventually rescheduled. (appts)
Adjunctive Booking Rate	The booking rate combines demand from both existing patients (based on appointments on the calendar and the scheduled RVI) and new patients' first appointments. (appt/wk)
Adjunctive Completing Rate	Appointment completions in each service are based on the team either satisfing all the demand from existing patients (based on appointments on the calendar and the scheduled RVI) or using all the supply allocated to that service (based on the Appointment Supply). If there is more demand than supply, then not all scheduled appointments will be seen in a timely manner, and Actual RVI will increase. This is different from a completed visit, as the appointment is still complete even if the patient no-shows.  (appt/wk)
Adjunctive Current Pt Appts / week	The total number of existing patient appointments per week, determined by the total number of patients in each service, the number of patients per appointent, and that service's return visit interval.
Adjunctive Delay to Starting Service	The average delay time for the team's patients to start in a service after either an intake appointment or review. It is calculated from the number of patients delayed and the rate at which they start each service.  Delay time is capped at 52 weeks (wks)
Adjunctive Demand per Patient per Week	Baseline number of appointments generated per patient per week for a service.
Adjunctive Desired Clinical Hours	This is the desired service capacity based on the desired appoinutment completion rate and the standard time per appointment.
Adjunctive Desired Completion Rate	To complete recurring appointments in the target return interval, the completion rate must be equal to the appointment backlog divided by the target return time interval.
Adjunctive Difference between Actual and Acceptable Start Delays	Ratio of services' acutal start delay to the team's standard for acceptable start delay.
Adjunctive Difference between Actual and Standard RVI	Ratio of services' acutal RVI to the team's desired RVI.
Adjunctive Effect of Care Delays on Treatment Decisions	
Adjunctive Effect of RVI Delays on Treatment Decisions	When care delays increase (as measured by the return to clinic visit intervals (RVI) for a service increasing above the scheduled RVI), the team will be less likely to decide that patient should start that service. This effect only applies to actual RVIs rising above scheduled RVIs: lower than scheduled RVIs do not increase provider decisions to start patients. (pct)
Adjunctive Effect of Start Delays on Treatment Decisions	When the wait time to start a service increases above the target wait time, the team will be less likely to decide that patient should start that service. This effect only applies to above-target wait times: lower than expected wait times do not increase provider decisions to start patients. (pct)
Adjunctive Effect of Work Pressure on Overtime	When the team has more appointments than they can see in a timely way, they feel "work pressure." One response to increasing work pressure is for the team to work overtime. The more work pressure a team experiences for a specific service, the greater this effect, and the more the overtime the team will work in that specific service. This effect only applies to increasing work pressure: having fewer appointments on the calendar that the team can see in a timely way does not influence providers to work fewer hours. (pct)
Adjunctive Effect of Work Pressure on Scheduled Return Visit Interval	When the team has more appointments than they can see in a timely way, they feel "work pressure." One response to increasing work pressure is for the team to see their patients less often. The more work pressure a team experiences for a specific service, the greater this effect, and the longer the scheduled return to clinic interval (RVI) for that specific service. This effect only applies to increasing work pressure: having fewer appointments on the calendar that the team can see in a timely way does not influence providers to see patients more often. (pct)
Adjunctive Ending Service Rate	The number of patients finishing a service is a function the number of patients in treatment and their median time engaged in treatment. (pts/wk)
Adjunctive Engagement Duration	
Adjunctive Engagement Duration (median)	These estimated service durations do not include patients who only come for one visit ("one-n-dones" are a significant portion of all patient visits).
Adjunctive Hours for Calculating Total Official Team Hours	Use the Baseline hours available for appointments for calculating the Total Official Team Clinical Hours, unless the users has set a new value for a service.
Adjunctive Initial Patients	The initial number of patients seen by the team is determined by the initial appointment completion rate and the demand per patient. Note that the equation type is INITIAL, which ensures that the initial patient load remains constant even if the appointment completion rate varies. By setting this initial patient load, we ensure that appointments are booked at exactly the rate the team can handle, given the team size and standard values for time per appoitment, return visit interval, missed opportunities, and % team time allocated to each service.
Adjunctive Maximum Completion Rate	The maximum completion rate is determined by the appointment backlog and minimum time between patient appointments.
Adjunctive Maximum Start Rate Service	The maximum new patient start rate is determined by the new patient waiting list and minimum time to schedule patient appointments.
Adjunctive Official Hours Available for Service	The hours available for patient appointments in each service depends on the baseline hours offered and the effect of burnout on those hours. Official hours are prevented from going below zero.
Adjunctive Patient Start Rate	Defined to maintain equilibrium in the base case (i.e., if no switches are active). The team can only start as many patients as they have the service capacity to see.
Adjunctive Patients in Service	The total number of patients in each service. (pts)
Adjunctive Patients per Appointment	Usually 1 patient per appointment, except for group clinics, where the ideal number is 8 patients per appointment, but is often as low as 4.
Adjunctive Patients w AUD	The numbers of patients in each service who have AUD as a primary diagnosis.
Adjunctive Patients w DEP	The numbers of patients in each service who have Depression as a primary diagnosis.
Adjunctive Patients w Other Needs	The numbers of patients in each service who have Other Needs as a primary diagnosis.
Adjunctive Patients w OUD	The numbers of patients in each service who have OUD as a primary diagnosis.
Adjunctive Patients Waiting to Start a Service	The total number of patients waiting to start the service(s) recommended by their provider after a review or an intake evaluation appointment. (pts)
Adjunctive Potential Completion Rate	The potential completion rate depends on the net available clinical hours and the time per apppointment.
Adjunctive Rescheduling Rate	The rescheduling rate for each service depends on the total number of appointments to reschedule and the average time it takes to reschedule them. (appts/wk)
Adjunctive Return Visit Interval (median)	The median return-to-clinic visit interval for visits in each service with this team, calculated from the number of visits per patient over their entire engagement time. (wks)
Adjunctive Return Visit Interval (RVI)	The scheduled average return to clinic visit interval for each service, regardless of whether or not the team has enough supply for the patient demand or the effect on new patient starts. This value replaces the base case value, which is estimated from the team's data. (wks)
Adjunctive RVI	The team's goal to see each patient in each service once in every x week (default RVIs are based on the team's data). The default RVI can be replaced by a user-generated value between 1 and 16 weeks. The "RVI" for Intake is always 1 week, which ensures that patients only have one intake appointment before completing Intake.
Adjunctive RVI used when Completing	Appointments are completed based on the RVI in use at the time they were booked. Any change in the RVI does not affect appointments already booked, only appointments being booked (i.e., appointments are not cancelled and rescheduled when RVI changes).
Adjunctive Scheduled Return Visit Interval	The return-to-clinic visit interval (RVI) used when scheduling appointmnents for existing patients in each service. It is either the same as the RVI from the team's data, or longer, depending on how the team chooses to react to increasing work pressure. (wks)
Adjunctive Service Proportions	The service percentage used by the team.
Adjunctive Service Proportions Balanced Across Team Variables	The percentage of patients who complete an intake who start another service, determined by the available capacity to treat those patients. If any of these percentages is >1, then there is enough supply for patients to enroll in a service multiple times simultaneously.
Adjunctive Service Proportions from Team Data	The proportion of patients who start in each service with this team. The percentages sum to more than one, because patients may engage in multiple services concurrently. (pct)
Adjunctive Starting a Service Rate	The number of patients who start each service each week. It is based on the number of appointments remaining each week, after all exisiting patients are seen in a timely manner. The team either satisfies all the demand from existing patients (based on appointments on the calendar and the scheduled RVI) or uses all the supply (based on the Appointment Supply), leaving no appointments available for new patients. (pts/wk)
Adjunctive Starting a Service w AUD	The number of patients per week starting AUD treatment after developing an individual treatment plan in an intake appointment.
Adjunctive Starting a Service w DEP	The number of patients per week starting Depression treatment after developing an individual treatment plan in an intake appointment.
Adjunctive Starting a Service w Other Needs	The number of patients per week starting Other Needs treatment after developing an individual treatment plan in an intake appointment.
Adjunctive Starting a Service w OUD	The number of patients per week starting OUD treatment after developing an individual treatment plan in an intake appointment.
Adjunctive Time per Appointment	The appointment length for a service;aka, the productivity.
Adjunctive Treatment Decision Rate	The number of patients who are recommended to start in each service each week, after either completing an intake evaluation appointment or a review. Providers can decide to start patients on multiple services simultaneously. (pts/wk)
Adjunctive True Missed Appointment %	The proportion of appointments for each service with this team that no-showed or were cancelled after the appointment was supposed to have happened. (pct)
Adjunctive True Missed Appointment Rate	The number of appointments that must be re-scheduled, as either the clinician or the patient missed the appointment, calculated from the team's data. (appts/wk)
Adjunctive User-defined Engagement Duration	The percentage of patients who are recommended to start each service after completing either an intake evaluation or review. These replace the base case values, which are estimated from team data on the appointment supply, Return-to-clinic Visit Interval (RVI), missed appointment percentage, and median engagement (i.e., the available capacity to treat patients in a timely manner) in each service. These percentages can sum to >1, as providers can decide to start a patient in multiple services. (pct)
Adjunctive User-defined Service Proportions from Team Data	The percentage of patients who are recommended to start each service after completing either an intake evaluation or review. These replace the base case values, which are estimated directly from team data on new service start rates for each service in the team (i.e., haven't had this service in the team in the last six months). These percentages can sum to >1, as providers can decided to start a patient in multiple services. (pct)
Adjunctive User-defined True Missed Appointment %	The percent of appointments that must be re-scheduled, as either the clinician or the patient missed the appointment. This replaces the base case value, which is estimated from team data. (appts/wk)
Adjunctive Work Pressure	When the team has more appointments than they can see in a timely way, they feel "work pressure." It is measured by the ratio of the hours needed for each service (based on the appointments on the calendar and the return to clinic interval) against the actual hours available for each service. When the team works the same hours as their patients need (so each patient can be seen at the appropriate return to clinic interval), then the ratio is 1. If a team has more appointments than they can see given the RVI, then work pressure will rise above 1. (pct)
Burnout Onset Time	Time for the extended workweek to have an effect on turnover (from Oliva).
CC % of Hours per Service	The ratio of hours used for any one service compared to the total team hours.
CC % w AUD	The fraction of patients who have AUD as a primary diagnosis in each service. These fractions are likely to sum to >100%, as they are not mutually exclusive (i.e., a patient can have a primary diagnosis of OUD in one visit, and then DEP in a subsequent visit, which would count them in both cohorts). Also, some patients engage in multiple services simultaneously, and thus count in multiple service cohorts.
CC % w DEP	The fraction of patients who have Depression as a primary diagnosis in each service. These fractions are likely to sum to >100%, as they are not mutually exclusive (i.e., a patient can have a primary diagnosis of OUD in one visit, and then DEP in a subsequent visit, which would count them in both cohorts). Also, some patients engage in multiple services simultaneously, and thus count in multiple service cohorts.
CC % w Other Needs	The fraction of patients who have Other Needs as a primary diagnosis in each service. These fractions are likely to sum to >100%, as they are not mutually exclusive (i.e., a patient can have a primary diagnosis of OUD in one visit, and then DEP in a subsequent visit, which would count them in both cohorts). Also, some patients engage in multiple services simultaneously, and thus count in multiple service cohorts.
CC % w OUD	The fraction of patients who have OUD as a primary diagnosis in each service. These fractions are likely to sum to >100%, as they are not mutually exclusive (i.e., a patient can have a primary diagnosis of OUD in one visit, and then DEP in a subsequent visit, which would count them in both cohorts). Also, some patients engage in multiple services simultaneously, and thus count in multiple service cohorts.
CC % w PTSD	The fraction of patients who have PTSD as a primary diagnosis in each service. These fractions are likely to sum to >100%, as they are not mutually exclusive (i.e., a patient can have a primary diagnosis of OUD in one visit, and then DEP in a subsequent visit, which would count them in both cohorts). Also, some patients engage in multiple services simultaneously, and thus count in multiple service cohorts.
CC Actual Engagement Time	The actual time patients spend in a service depends on both the median time estimated from the team's visit data and the effect of provider fatigue on patient engagement.
CC Actual Hours Available for Service	The number of hours the team has allocated to providing patient-facing care in each service, including both bookable appointments on the calendar and unofficial overbooking/overtime hours. (hrs/wk)
CC Actual Return Visit Interval	The actual average return-to-clinic visit interval that patients experience. This is either the same as the RVI used when appointments are scheduled, or potentially longer, if the team reacts to work pressure by extending existing patients' RVI. Longer than desired RVIs do not cause patients or providers to cancel appointments. In theory, the actual RVI could be pushed to more than one year, but we've capped it at 52 weeks. (wks)
CC Actual Service Capacity	The effective total hours of clinical time available, based on the percentage of the total team hours allocated to each service, and the missed appointment percentage for each service. This assumes that all missed appointments are eventually rescheduled.
CC Actual True Missed Appointment %	The percent of appointments missed and rescheduled is affected by both the baseline rate and the effect of fatigue due to accumulated long hours. It is constrained from going below zero. The baseline rate can be replaced by a user-generated value between zero and 100%.
CC Appointment Rate for Service Capacity	The appointment completion rate is the rate at which appointments would be completed in each service by the current team at the standard allocation of hours and hours lost to appointment re-scheduling for each service. Used to initialize the model, so the referral, start, and end rates for patients in each service is in equilibrium.
CC Appointment Supply	The number of official appointments offered each week. This value replaces the default value estimated from the team's data, with the assumption that any increase in supply comes from reducing appointments offered in other services. (appt/wk)
CC Appointment Supply (median)	The number of appointments available with this team for each service each week. The estimate is calculated using the volume of visits completed each week with the team in each service over one year. (appt/wk)
CC Appointments	The total number of appontments for each service on the calendar. (appts)
CC Appointments to Reschedule	The number of appointments to be rescheduled for each service. This assumes that all missed appointments are eventually rescheduled. (appts)
CC Booking Rate	The booking rate combines demand from both existing patients (based on appointments on the calendar and the scheduled RVI) and new patients' first appointments. (appt/wk)
CC Completing Rate	Appointment completions in each service are based on the team either satisfing all the demand from existing patients (based on appointments on the calendar and the scheduled RVI) or using all the supply allocated to that service (based on the Appointment Supply). If there is more demand than supply, then not all scheduled appointments will be seen in a timely manner, and Actual RVI will increase. This is different from a completed visit, as the appointment is still complete even if the patient no-shows.  (appt/wk)
CC Current Pt Appts / week	The total number of existing patient appointments per week, determined by the total number of patients in each service, the number of patients per appointent, and that service's return visit interval.
CC Delay to Starting Service	The average delay time for the team's patients to start in a service after either an intake appointment or review. It is calculated from the number of patients delayed and the rate at which they start each service.  Delay time is capped at 52 weeks (wks)
CC Demand per Patient per Week	Baseline number of appointments generated per patient per week for a service.
CC Desired Clinical Hours	This is the desired service capacity based on the desired appoinutment completion rate and the standard time per appointment.
CC Desired Completion Rate	To complete recurring appointments in the target return interval, the completion rate must be equal to the appointment backlog divided by the target return time interval.
CC Difference between Actual and Acceptable Start Delays	Ratio of services' acutal start delay to the team's standard for acceptable start delay.
CC Difference between Actual and Standard RVI	Ratio of services' acutal RVI to the team's desired RVI.
CC Effect of Care Delays on Treatment Decisions	
CC Effect of RVI Delays on Treatment Decisions	When care delays increase (as measured by the return to clinic visit intervals (RVI) for a service increasing above the scheduled RVI), the team will be less likely to decide that patient should start that service. This effect only applies to actual RVIs rising above scheduled RVIs: lower than scheduled RVIs do not increase provider decisions to start patients. (pct)
CC Effect of Start Delays on Treatment Decisions	When the wait time to start a service increases above the target wait time, the team will be less likely to decide that patient should start that service. This effect only applies to above-target wait times: lower than expected wait times do not increase provider decisions to start patients. (pct)
CC Effect of Work Pressure on Overtime	When the team has more appointments than they can see in a timely way, they feel "work pressure." One response to increasing work pressure is for the team to work overtime. The more work pressure a team experiences for a specific service, the greater this effect, and the more the overtime the team will work in that specific service. This effect only applies to increasing work pressure: having fewer appointments on the calendar that the team can see in a timely way does not influence providers to work fewer hours. (pct)
CC Effect of Work Pressure on Scheduled Return Visit Interval	When the team has more appointments than they can see in a timely way, they feel "work pressure." One response to increasing work pressure is for the team to see their patients less often. The more work pressure a team experiences for a specific service, the greater this effect, and the longer the scheduled return to clinic interval (RVI) for that specific service. This effect only applies to increasing work pressure: having fewer appointments on the calendar that the team can see in a timely way does not influence providers to see patients more often. (pct)
CC Ending Service Rate	The number of patients finishing a service is a function the number of patients in treatment and their median time engaged in treatment. (pts/wk)
CC Engagement Duration	
CC Engagement Duration (median)	These estimated service durations do not include patients who only come for one visit ("one-n-dones" are a significant portion of all patient visits).
CC Hours for Calculating Total Official Team Hours	Use the Baseline hours available for appointments for calculating the Total Official Team Clinical Hours, unless the users has set a new value for a service.
CC Initial Patients	The initial number of patients seen by the team is determined by the initial appointment completion rate and the demand per patient. Note that the equation type is INITIAL, which ensures that the initial patient load remains constant even if the appointment completion rate varies. By setting this initial patient load, we ensure that appointments are booked at exactly the rate the team can handle, given the team size and standard values for time per appoitment, return visit interval, missed opportunities, and % team time allocated to each service.
CC Maximum Completion Rate	The maximum completion rate is determined by the appointment backlog and minimum time between patient appointments.
CC Maximum Start Rate Service	The maximum new patient start rate is determined by the new patient waiting list and minimum time to schedule patient appointments.
CC Official Hours Available for Service	The hours available for patient appointments in each service depends on the baseline hours offered and the effect of burnout on those hours. Official hours are prevented from going below zero.
CC Patient Start Rate	Defined to maintain equilibrium in the base case (i.e., if no switches are active). The team can only start as many patients as they have the service capacity to see.
CC Patients in Service	The total number of patients in each service. (pts)
CC Patients per Appointment	Usually 1 patient per appointment, except for group clinics, where the ideal number is 8 patients per appointment, but is often as low as 4.
CC Patients w AUD	The numbers of patients in each service who have AUD as a primary diagnosis.
CC Patients w DEP	The numbers of patients in each service who have Depression as a primary diagnosis.
CC Patients w Other Needs	The numbers of patients in each service who have Other Needs as a primary diagnosis.
CC Patients w OUD	The numbers of patients in each service who have OUD as a primary diagnosis.
CC Patients w PTSD	The numbers of patients in each service who have PTSD as a primary diagnosis.
CC Patients Waiting to Start a Service	The total number of patients waiting to start the service(s) recommended by their provider after a review or an intake evaluation appointment. (pts)
CC Potential Completion Rate	The potential completion rate depends on the net available clinical hours and the time per apppointment.
CC Rescheduling Rate	The rescheduling rate for each service depends on the total number of appointments to reschedule and the average time it takes to reschedule them. (appts/wk)
CC Return Visit Interval (median)	The median return-to-clinic visit interval for visits in each service with this team, calculated from the number of visits per patient over their entire engagement time. (wks)
CC Return Visit Interval (RVI)	The scheduled average return to clinic visit interval for each service, regardless of whether or not the team has enough supply for the patient demand or the effect on new patient starts. This value replaces the base case value, which is estimated from the team's data. (wks)
CC RVI	The team's goal to see each patient in each service once in every x week (default RVIs are based on the team's data). The default RVI can be replaced by a user-generated value between 1 and 16 weeks. The "RVI" for Intake is always 1 week, which ensures that patients only have one intake appointment before completing Intake.
CC RVI used when Completing	Appointments are completed based on the RVI in use at the time they were booked. Any change in the RVI does not affect appointments already booked, only appointments being booked (i.e., appointments are not cancelled and rescheduled when RVI changes).
CC Scheduled Return Visit Interval	The return-to-clinic visit interval (RVI) used when scheduling appointmnents for existing patients in each service. It is either the same as the RVI from the team's data, or longer, depending on how the team chooses to react to increasing work pressure. (wks)
CC Service Proportions	The service percentage used by the team.
CC Service Proportions Balanced Across Team Variables	The percentage of patients who complete an intake who start another service, determined by the available capacity to treat those patients. If any of these percentages is >1, then there is enough supply for patients to enroll in a service multiple times simultaneously.
CC Service Proportions from Team Data	The proportion of patients who start in each service with this team. The percentages sum to more than one, because patients may engage in multiple services concurrently. (pct)
CC Starting a Service Rate	The number of patients who start each service each week. It is based on the number of appointments remaining each week, after all exisiting patients are seen in a timely manner. The team either satisfies all the demand from existing patients (based on appointments on the calendar and the scheduled RVI) or uses all the supply (based on the Appointment Supply), leaving no appointments available for new patients. (pts/wk)
CC Starting a Service w AUD	The number of patients per week starting AUD treatment after developing an individual treatment plan in an intake appointment.
CC Starting a Service w DEP	The number of patients per week starting Depression treatment after developing an individual treatment plan in an intake appointment.
CC Starting a Service w Other Needs	The number of patients per week starting Other Needs treatment after developing an individual treatment plan in an intake appointment.
CC Starting a Service w OUD	The number of patients per week starting OUD treatment after developing an individual treatment plan in an intake appointment.
CC Starting a Service w PTSD	The number of patients per week starting PTSD treatment after developing an individual treatment plan in an intake appointment.
CC Time per Appointment	The appointment length for a service;aka, the productivity.
CC Treatment Decision Rate	The number of patients who are recommended to start in each service each week, after either completing an intake evaluation appointment or a review. Providers can decide to start patients on multiple services simultaneously. (pts/wk)
CC True Missed Appointment %	The proportion of appointments for each service with this team that no-showed or were cancelled after the appointment was supposed to have happened. (pct)
CC True Missed Appointment Rate	The number of appointments that must be re-scheduled, as either the clinician or the patient missed the appointment, calculated from the team's data. (appts/wk)
CC User-defined Engagement Duration	The percentage of patients who are recommended to start each service after completing either an intake evaluation or review. These replace the base case values, which are estimated from team data on the appointment supply, Return-to-clinic Visit Interval (RVI), missed appointment percentage, and median engagement (i.e., the available capacity to treat patients in a timely manner) in each service. These percentages can sum to >1, as providers can decide to start a patient in multiple services. (pct)
CC User-defined Service Proportions from Team Data	The percentage of patients who are recommended to start each service after completing either an intake evaluation or review. These replace the base case values, which are estimated directly from team data on new service start rates for each service in the team (i.e., haven't had this service in the team in the last six months). These percentages can sum to >1, as providers can decided to start a patient in multiple services. (pct)
CC User-defined True Missed Appointment %	The percent of appointments that must be re-scheduled, as either the clinician or the patient missed the appointment. This replaces the base case value, which is estimated from team data. (appts/wk)
CC Work Pressure	When the team has more appointments than they can see in a timely way, they feel "work pressure." It is measured by the ratio of the hours needed for each service (based on the appointments on the calendar and the return to clinic interval) against the actual hours available for each service. When the team works the same hours as their patients need (so each patient can be seen at the appropriate return to clinic interval), then the ratio is 1. If a team has more appointments than they can see given the RVI, then work pressure will rise above 1. (pct)
Data on Review Rate	
Difference between Excess and Official Team Hours	Ratio of the team's total excess hours worked to their total official hours.
EBPsych % of Hours per Service	The ratio of hours used for any one service compared to the total team hours.
EBPsych % w AUD	The fraction of patients who have AUD as a primary diagnosis in each service. These fractions are likely to sum to >100%, as they are not mutually exclusive (i.e., a patient can have a primary diagnosis of OUD in one visit, and then DEP in a subsequent visit, which would count them in both cohorts). Also, some patients engage in multiple services simultaneously, and thus count in multiple service cohorts.
EBPsych % w DEP	The fraction of patients who have Depression as a primary diagnosis in each service. These fractions are likely to sum to >100%, as they are not mutually exclusive (i.e., a patient can have a primary diagnosis of OUD in one visit, and then DEP in a subsequent visit, which would count them in both cohorts). Also, some patients engage in multiple services simultaneously, and thus count in multiple service cohorts.
EBPsych % w Other Needs	The fraction of patients who have Other Needs as a primary diagnosis in each service. These fractions are likely to sum to >100%, as they are not mutually exclusive (i.e., a patient can have a primary diagnosis of OUD in one visit, and then DEP in a subsequent visit, which would count them in both cohorts). Also, some patients engage in multiple services simultaneously, and thus count in multiple service cohorts.
EBPsych % w OUD	The fraction of patients who have OUD as a primary diagnosis in each service. These fractions are likely to sum to >100%, as they are not mutually exclusive (i.e., a patient can have a primary diagnosis of OUD in one visit, and then DEP in a subsequent visit, which would count them in both cohorts). Also, some patients engage in multiple services simultaneously, and thus count in multiple service cohorts.
EBPsych % w PTSD	The fraction of patients who have PTSD as a primary diagnosis in each service. These fractions are likely to sum to >100%, as they are not mutually exclusive (i.e., a patient can have a primary diagnosis of OUD in one visit, and then DEP in a subsequent visit, which would count them in both cohorts). Also, some patients engage in multiple services simultaneously, and thus count in multiple service cohorts.
EBPsych Actual Engagement Time	The actual time patients spend in a service depends on both the median time estimated from the team's visit data and the effect of provider fatigue on patient engagement.
EBPsych Actual Hours Available for Service	The number of hours the team has allocated to providing patient-facing care in each service, including both bookable appointments on the calendar and unofficial overbooking/overtime hours. (hrs/wk)
EBPsych Actual Return Visit Interval	The actual average return-to-clinic visit interval that patients experience. This is either the same as the RVI used when appointments are scheduled, or potentially longer, if the team reacts to work pressure by extending existing patients' RVI. Longer than desired RVIs do not cause patients or providers to cancel appointments. In theory, the actual RVI could be pushed to more than one year, but we've capped it at 52 weeks. (wks)
EBPsych Actual Service Capacity	The effective total hours of clinical time available, based on the percentage of the total team hours allocated to each service, and the missed appointment percentage for each service. This assumes that all missed appointments are eventually rescheduled.
EBPsych Actual True Missed Appointment %	The percent of appointments missed and rescheduled is affected by both the baseline rate and the effect of fatigue due to accumulated long hours. It is constrained from going below zero. The baseline rate can be replaced by a user-generated value between zero and 100%.
EBPsych Appointment Rate for Service Capacity	The appointment completion rate is the rate at which appointments would be completed in each service by the current team at the standard allocation of hours and hours lost to appointment re-scheduling for each service. Used to initialize the model, so the referral, start, and end rates for patients in each service is in equilibrium.
EBPsych Appointment Supply	The number of official appointments offered each week. This value replaces the default value estimated from the team's data, with the assumption that any increase in supply comes from reducing appointments offered in other services. (appt/wk)
EBPsych Appointment Supply (median)	The number of appointments available with this team for each service each week. The estimate is calculated using the volume of visits completed each week with the team in each service over one year. (appt/wk)
EBPsych Appointments	The total number of appontments for each service on the calendar. (appts)
EBPsych Appointments to Reschedule	The number of appointments to be rescheduled for each service. This assumes that all missed appointments are eventually rescheduled. (appts)
EBPsych Booking Rate	The booking rate combines demand from both existing patients (based on appointments on the calendar and the scheduled RVI) and new patients' first appointments. (appt/wk)
EBPsych Completing Rate	Appointment completions in each service are based on the team either satisfing all the demand from existing patients (based on appointments on the calendar and the scheduled RVI) or using all the supply allocated to that service (based on the Appointment Supply). If there is more demand than supply, then not all scheduled appointments will be seen in a timely manner, and Actual RVI will increase. This is different from a completed visit, as the appointment is still complete even if the patient no-shows.  (appt/wk)
EBPsych Current Pt Appts / week	The total number of existing patient appointments per week, determined by the total number of patients in each service, the number of patients per appointent, and that service's return visit interval.
EBPsych Delay to Starting Service	The average delay time for the team's patients to start in a service after either an intake appointment or review. It is calculated from the number of patients delayed and the rate at which they start each service.  Delay time is capped at 52 weeks (wks)
EBPsych Demand per Patient per Week	Baseline number of appointments generated per patient per week for a service.
EBPsych Desired Clinical Hours	This is the desired service capacity based on the desired appoinutment completion rate and the standard time per appointment.
EBPsych Desired Completion Rate	To complete recurring appointments in the target return interval, the completion rate must be equal to the appointment backlog divided by the target return time interval.
EBPsych Difference between Actual and Acceptable Start Delays	Ratio of services' acutal start delay to the team's standard for acceptable start delay.
EBPsych Difference between Actual and Standard RVI	Ratio of services' acutal RVI to the team's desired RVI.
EBPsych Effect of Care Delays on Treatment Decisions	
EBPsych Effect of RVI Delays on Treatment Decisions	When care delays increase (as measured by the return to clinic visit intervals (RVI) for a service increasing above the scheduled RVI), the team will be less likely to decide that patient should start that service. This effect only applies to actual RVIs rising above scheduled RVIs: lower than scheduled RVIs do not increase provider decisions to start patients. (pct)
EBPsych Effect of Start Delays on Treatment Decisions	When the wait time to start a service increases above the target wait time, the team will be less likely to decide that patient should start that service. This effect only applies to above-target wait times: lower than expected wait times do not increase provider decisions to start patients. (pct)
